team_id,gate_revenue,gate_share_gained,gate_share_lost,season_ticket_revenue,media_revenue,merchandising_revenue,revenue_sharing,playoff_revenue,cash,cash_owner,cash_trades,previous_balance,player_expenses,staff_expenses,stadium_expenses,season_tickets,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,local_media_contract,local_media_contract_expires,national_media_contract,national_media_contract_expires,scouting_budget,development_budget,draft_budget,draft_expenses,intl_fa_budget,spent_in_intl,budget,market,owner_expectation,total_revenue,total_expenses,financial_balance,budget_balance,player_payroll,player_payroll_next_season,player_payroll_offered,mode
51,23655730,2123997,4731146,47656350,92500000,10924304,17,0,-6500000,6458842,0,-12958859,68549787,0,0,16810,1163368,95,6,35,35.0000,50000000,1,42500000,1,0,36000000,0,0,0,4600000,250000000,6,4,172129235,87774787,77854448,160325213,215259300.0000,210720000.0000,0.0000,0
52,10507040,1997960,2101408,26768880,75000000,8804433,5912155,0,16816985,0,0,10904830,46726299,0,0,16524,971500,67,6,10,20.0000,32500000,1,42500000,2,0,20000000,0,0,0,5000000,170000000,4,2,120976905,77601299,60192591,114215686,140359525.0000,151481000.0000,0.0000,0
53,20227000,2397923,4045400,48749040,92500000,9524294,34,0,30000000,-5278342,0,35278308,72442566,0,0,15046,896871,85,5,14,40.0000,50000000,1,42500000,2,0,34000000,0,0,0,5000000,254000000,6,5,169352857,119564819,79788038,169435181,217911200.0000,195395000.0000,0.0000,1
54,10373480,2436652,2074696,30833460,87500000,8577650,5912222,0,-3400000,12808069,0,-22120291,21624992,0,0,19033,994499,74,8,0,20.0000,45000000,1,42500000,3,0,27000000,0,0,0,4999452,194000000,6,2,137646546,101459444,32787102,94140008,56875855.0000,57220000.0000,0.0000,1
55,12475496,1922480,2495101,44754007,102500000,12483993,60,0,30000000,-907674,0,30907614,62593127,0,0,22324,1124192,75,10,14,27.0000,60000000,1,42500000,1,0,36000000,0,0,5000000,5000000,230000000,8,4,171640875,96093127,105547748,163906873,186266200.0000,189667000.0000,0.0000,0
56,11061696,1907798,2212341,36733824,102500000,9844313,-8981974,0,-7000000,27784836,0,-25802862,58986688,0,0,14172,714150,81,10,-5,32.0000,60000000,1,42500000,1,0,12000000,0,0,0,0,220000000,8,3,159835290,87521688,65313602,125478312,164444475.0000,159200000.0000,0.0000,0
57,16150995,1933490,3230199,42675660,107500000,10757600,-11914293,0,-21000000,48908393,0,-57994100,61864926,0,0,11708,686735,92,8,-6,45.0000,65000000,1,42500000,2,0,26803975,0,0,0,0,226000000,8,0,175787546,88668901,66118645,116331099,155595850.0000,135237500.0000,0.0000,0
58,14532676,3175985,2906532,31290243,107500000,11392268,0,0,19735808,-4933954,0,24669762,63459080,0,0,15299,1034522,74,9,6,25.2500,65000000,1,42500000,1,0,12000000,0,0,0,0,190000000,9,4,164984640,88459080,96261368,121276728,187174875.0000,165787500.0000,0.0000,1
59,17470263,2914586,3494053,55965330,117500000,12949312,61,0,30000000,-22101556,0,52101495,86327865,0,0,23031,1240283,92,9,18,32.2500,75000000,1,42500000,2,0,36000000,0,0,5000000,5000000,274000000,9,4,203305438,127327865,105977573,176672135,264812750.0000,270872500.0000,0.0000,1
60,14083104,2440015,2816621,47120940,97500000,11425006,5912205,0,15841021,0,0,9928816,75900270,0,0,20060,1064648,73,7,44,28.0000,55000000,1,42500000,1,0,24000000,0,0,5000000,5000000,250000000,7,1,169752444,99595640,85997825,166245381,231368400.0000,222767500.0000,0.0000,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,3000000,12000000,9375000,0,2250000,0,0,0,0,0,15000000,-15000000,-26625000,13910000.0000,0.0000,0.0000,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,3000000,12000000,9375000,0,2250000,0,0,0,0,0,15000000,-15000000,-26625000,13910000.0000,0.0000,0.0000,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775,195792,52,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32385000.0000,12500000.0000,0.0000,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,189048,84,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5350000.0000,0.0000,0.0000,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3009,170481,92,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10790000.0000,0.0000,0.0000,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3260,231877,79,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4815000.0000,0.0000,0.0000,1
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2939,132039,53,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7780000.0000,0.0000,0.0000,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775,158718,51,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4280000.0000,0.0000,0.0000,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060,202899,78,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5265000.0000,0.0000,0.0000,3
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,203090,71,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6300000.0000,0.0000,0.0000,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3620,130259,61,0,8,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7850000.0000,0.0000,0.0000,0
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3128,135687,76,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15205000.0000,8000000.0000,0.0000,3
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3335,198378,76,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9865000.0000,0.0000,0.0000,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4650,298470,100,0,11,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5175000.0000,0.0000,0.0000,1
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3392,165155,64,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4280000.0000,0.0000,0.0000,3
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816,115796,50,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4140000.0000,0.0000,0.0000,2
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3630,235478,83,1,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12085000.0000,0.0000,0.0000,0
