team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
31,2011,145,1,2,0,0,5744,1443,6186,0,1414,1058,0,442,662,609,0,0,0,1,162,0,0,0,58,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,11.5732,0.2462,0.3000,0.3292,0.6292,8.8171,6.5972,0.9915,2.7561,0.0000,4.0848,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.7975,0.0000,0.0000,1.2859,0.0000,2.3937,0.2772
31,2012,145,1,2,0,0,5733,1433,6150,0,1432,1200,0,417,688,626,0,0,0,2,162,0,0,0,39,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,11.6073,0.2498,0.3007,0.3309,0.6315,8.9895,7.5331,0.9730,2.6178,0.0000,3.8040,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.9298,0.0000,0.0000,1.2897,0.0000,2.8777,0.2917
31,2013,145,1,2,0,0,5945,1495,6430,0,1460,1218,0,485,695,651,0,0,0,0,162,0,0,0,38,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,11.7090,0.2456,0.3025,0.3344,0.6369,8.7893,7.3324,1.0595,2.9197,0.0000,4.0742,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.9191,0.0000,0.0000,1.3010,0.0000,2.5113,0.2821
31,2014,145,1,2,0,0,5800,1444,6269,0,1467,1278,0,469,742,683,0,0,0,1,162,0,0,0,35,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,12.0637,0.2529,0.3088,0.3326,0.6414,9.1412,7.9635,0.9596,2.9225,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,4.2559,0.0000,0.0000,1.3404,0.0000,2.7249,0.3006
31,2015,145,1,2,0,0,5850,1466,6350,0,1450,1215,0,500,713,659,0,0,0,2,162,0,0,0,44,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,11.9659,0.2479,0.3071,0.3412,0.6483,8.8977,7.4557,1.1168,3.0682,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,4.0439,0.0000,0.0000,1.3295,0.0000,2.4300,0.2848
31,2016,145,1,2,0,0,6057,1485,6683,0,1601,1361,0,626,917,847,0,0,0,1,165,0,0,0,32,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,13.4939,0.2643,0.3332,0.3668,0.7001,9.7009,8.2466,1.2543,3.7931,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,5.1322,0.0000,0.0000,1.4993,0.0000,2.1741,0.3105
31,2017,145,1,2,1,0,5597,1448,6396,0,1478,1236,492,654,803,745,1661,1239,23488,0,162,162,68,94,43,932,281,53,39,49,216,4,1,99,53,52,156,128,88,66,23,421,6,8,71,39,61,13.5746,0.2641,0.3444,0.4476,0.7919,9.1865,7.6823,1.3425,4.0649,0.0370,0.0000,0.5432,0.4198,3.0370,0.6515,0.3485,0.3705,4.6305,141.4940,0.0000,1.4724,0.5728,1.8899,0.3016
31,2018,145,1,2,1,0,5632,1461,6362,0,1468,1330,487,573,755,702,1689,1173,23204,1,162,162,71,91,39,960,293,61,35,31,184,4,1,88,63,60,154,113,89,60,21,434,8,7,100,36,70,12.9396,0.2607,0.3335,0.4217,0.7552,9.0411,8.1911,1.1332,3.5290,0.0494,0.0000,0.5494,0.4383,3.0062,0.6500,0.3500,0.3548,4.3234,142.3558,0.0000,1.3967,0.5901,2.3211,0.3092
31,2019,145,1,2,1,0,5443,1433,6286,0,1369,1295,482,680,737,688,1693,1120,23180,0,162,162,71,91,42,884,282,64,34,24,179,10,1,77,49,64,158,128,83,57,15,473,4,2,97,23,78,13.2708,0.2515,0.3397,0.4108,0.7505,8.5980,8.1333,1.1242,4.2708,0.0247,0.0000,0.5123,0.4383,2.9753,0.7368,0.2632,0.3340,4.3210,140.4848,0.0000,1.4299,0.6018,1.9044,0.2973
31,2020,145,1,2,1,0,5683,1468,6492,0,1515,1302,410,621,836,772,1687,1229,24062,1,162,162,57,105,29,972,293,79,45,33,217,4,0,78,59,64,160,122,73,54,24,463,2,6,91,46,43,13.4847,0.2666,0.3431,0.4443,0.7874,9.2860,7.9805,1.3301,3.8064,0.0123,0.0000,0.4506,0.3519,2.5309,0.5472,0.4444,0.3456,4.7319,145.8303,0.0000,1.4547,0.5785,2.0966,0.3084
