team_id,year,league_id,sub_league_id,division_id,g,w,l,pos,pct,gb,streak,magic_number
31,1998,145,1,2,162,65,97,5,0.4012,33.0000,0,0
31,1999,145,1,2,162,100,62,1,0.6173,0.0000,0,0
31,2000,145,1,2,162,85,77,3,0.5247,12.0000,0,0
31,2001,145,1,2,162,92,70,1,0.5679,0.0000,0,0
31,2002,145,1,2,162,98,64,1,0.6049,0.0000,0,0
31,2003,145,1,2,162,84,78,3,0.5185,16.5000,0,0
31,2004,145,1,2,162,51,111,5,0.3148,42.0000,0,0
31,2005,145,1,2,162,77,85,2,0.4753,5.0000,0,0
31,2006,145,1,2,162,76,86,4,0.4691,12.0000,0,0
31,2007,145,1,2,162,90,72,1,0.5556,-0.5000,0,0
31,2008,145,1,2,162,82,80,2,0.5062,2.0000,0,0
31,2009,145,1,2,162,70,92,5,0.4321,25.0000,0,0
31,2010,145,1,2,162,65,97,5,0.4012,27.0000,0,0
31,2011,145,1,2,162,94,68,1,0.5802,0.0000,0,0
31,2012,145,1,2,162,81,81,3,0.5000,13.0000,0,0
31,2013,145,1,2,162,81,81,2,0.5000,11.0000,0,0
31,2014,145,1,2,162,64,98,5,0.3951,30.0000,0,0
31,2015,145,1,2,162,79,83,3,0.4877,13.0000,0,0
31,2016,145,1,2,165,70,95,4,0.4242,22.5000,0,0
31,2017,145,1,2,162,68,94,5,0.4198,31.0000,3,1000
31,2018,145,1,2,162,71,91,4,0.4383,39.0000,-2,1000
31,2019,145,1,2,162,71,91,5,0.4383,27.0000,-8,1000
31,2020,145,1,2,162,57,105,5,0.3519,47.0000,-1,1000
31,2021,145,1,2,162,71,91,3,0.4383,50.0000,-4,1000
31,2022,145,1,1,162,69,93,5,0.4259,34.0000,-1,1000
31,2023,145,1,1,162,69,93,5,0.4259,20.5000,3,1000
31,2024,145,1,1,162,65,97,5,0.4012,27.0000,4,1000
31,2025,145,1,1,162,74,88,3,0.4568,20.0000,1,1000
31,2026,145,1,1,162,96,66,1,0.5926,0.0000,1,-2
31,2027,145,1,1,162,86,76,2,0.5309,10.0000,-1,1000
31,2028,145,1,1,162,99,63,1,0.6111,0.0000,-1,-7
31,2029,145,1,1,162,86,76,2,0.5309,6.0000,-1,1000
31,2030,145,1,1,162,104,58,1,0.6420,0.0000,1,-10
31,2031,145,1,1,162,87,75,3,0.5370,11.0000,-1,1000
31,2032,145,1,1,162,92,70,3,0.5679,3.0000,-3,1000
31,2033,145,1,1,162,82,80,3,0.5062,27.0000,1,1000
31,2034,145,1,1,162,95,67,1,0.5864,0.0000,-1,-5
31,2035,145,1,1,162,97,65,2,0.5988,1.0000,3,1000
31,2036,145,1,1,162,85,77,2,0.5247,3.0000,-4,1000
31,2037,145,1,1,162,75,87,4,0.4630,26.0000,-1,1000
31,2038,145,1,1,162,85,77,4,0.5247,8.5000,-2,1000
31,2039,145,1,1,162,85,77,3,0.5247,15.0000,-1,1000
32,1876,145,0,0,70,39,31,4,0.5571,15.0000,0,0
32,1877,145,0,0,61,42,18,1,0.7000,0.0000,0,0
32,1878,145,0,0,60,41,19,1,0.6833,0.0000,0,0
32,1879,145,0,0,84,54,30,2,0.6429,4.5000,0,0
32,1880,145,0,0,86,40,44,6,0.4762,27.0000,0,0
32,1881,145,0,0,83,38,45,6,0.4578,17.5000,0,0
32,1882,145,0,0,85,45,39,3,0.5357,10.5000,0,0
32,1883,145,0,0,98,63,35,1,0.6429,0.0000,0,0
32,1884,145,0,0,116,73,38,2,0.6577,12.0000,0,0
32,1885,145,0,0,113,46,66,5,0.4107,41.0000,0,0
32,1886,145,0,0,118,56,61,5,0.4786,30.0000,0,0
32,1887,145,0,0,127,61,60,5,0.5041,18.0000,0,0
32,1888,145,0,0,137,70,64,4,0.5224,13.5000,0,0
32,1889,145,0,0,133,83,45,2,0.6484,1.0000,0,0
32,1890,145,0,0,134,76,57,5,0.5714,12.5000,0,0
32,1891,145,0,0,140,87,51,1,0.6304,0.0000,0,0
32,1892,145,0,0,152,102,48,1,0.6800,0.0000,0,0
32,1893,145,0,0,131,86,43,1,0.6667,0.0000,0,0
32,1894,145,0,0,133,83,49,3,0.6288,8.0000,0,0
32,1895,145,0,0,132,71,60,6,0.5420,16.0000,0,0
32,1896,145,0,0,132,74,57,4,0.5649,16.0000,0,0
32,1897,145,0,0,135,93,39,1,0.7045,0.0000,0,0
32,1898,145,0,0,152,102,47,1,0.6846,0.0000,0,0
32,1899,145,0,0,153,95,57,2,0.6250,7.5000,0,0
32,1900,145,0,0,142,66,72,4,0.4783,16.0000,0,0
32,1901,145,1,0,140,69,69,5,0.5000,21.0000,0,0
32,1902,145,1,0,142,73,64,3,0.5328,30.0000,0,0
32,1903,145,1,0,140,58,80,6,0.4203,32.5000,0,0
32,1904,145,1,0,155,55,98,7,0.3595,49.5000,0,0
32,1905,145,1,0,156,51,103,7,0.3312,54.5000,0,0
32,1906,145,1,0,152,49,102,8,0.3245,65.5000,0,0
32,1907,145,1,0,152,58,90,7,0.3919,47.5000,0,0
32,1908,145,1,0,156,63,91,6,0.4091,35.0000,0,0
32,1909,145,1,0,155,45,108,8,0.2941,65.5000,0,0
32,1910,145,1,0,157,53,100,8,0.3464,52.5000,0,0
32,1911,145,1,0,156,44,107,8,0.2914,56.0000,0,0
32,1912,145,1,0,155,52,101,8,0.3399,51.5000,0,0
32,1913,145,1,0,154,69,82,5,0.4570,31.0000,0,0
32,1914,145,1,0,158,94,59,1,0.6144,0.0000,0,0
32,1915,145,1,0,157,83,69,2,0.5461,9.0000,0,0
32,1916,145,1,0,158,89,63,3,0.5855,6.0000,0,0
32,1917,145,1,0,157,72,81,6,0.4706,25.5000,0,0
32,1918,145,1,0,124,53,71,7,0.4274,27.5000,0,0
32,1919,145,1,0,140,57,82,6,0.4101,39.0000,0,0
32,1920,145,1,0,153,62,90,7,0.4079,30.0000,0,0
