team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
44,2040,145,1,1,1758,452,2014,767,461,362,175,219,252,232,419,509,7389,2,85,85,19,39,0,299,85,6,14,10,67,2,1,34,14,16,0,41,39,0,0,0,0,0,23,11,0,13.8380,0.2622,0.3468,0.4363,0.7831,9.1657,7.1973,1.3321,4.3542,0.0000,0.0000,0.4588,0.3276,2.0588,0.0000,0.0000,0.0000,4.6127,86.9294,0.0000,1.5022,0.4515,1.6530,0.2934
45,2040,145,1,1,1764,440,1942,762,514,401,152,147,253,241,402,449,7208,2,83,83,14,36,0,367,92,7,8,9,46,1,0,0,16,16,0,41,39,0,0,0,0,0,13,10,0,13.8268,0.2914,0.3499,0.4320,0.7818,10.4977,8.1899,0.9395,3.0023,0.0000,0.0000,0.4699,0.2800,1.8313,0.0000,0.0000,0.0000,4.9221,86.8434,0.0000,1.5000,0.4724,2.7279,0.3532
46,2040,145,1,1,1717,426,1941,840,501,283,213,178,317,293,475,448,7078,0,85,85,18,38,0,316,103,7,11,10,72,0,0,2,31,28,0,41,23,0,0,0,0,0,20,11,0,14.9366,0.2918,0.3656,0.4892,0.8548,10.5845,5.9789,1.5211,3.7606,0.0000,0.0000,0.2706,0.3214,2.5059,0.0000,0.0000,0.0000,6.1901,83.2706,0.0000,1.5939,0.5146,1.5899,0.3125
47,2040,145,1,1,1900,482,2128,803,508,402,285,175,269,254,457,529,7968,0,83,83,30,29,0,334,109,9,21,9,56,1,2,1,24,21,0,38,36,0,0,0,0,0,32,9,0,13.1452,0.2674,0.3325,0.4226,0.7552,9.4855,7.5062,1.0456,3.2676,0.0000,0.0000,0.4337,0.5085,3.4337,0.0000,0.0000,0.0000,4.7427,96.0000,0.0000,1.4170,0.4635,2.2971,0.3090
48,2040,145,1,1,1820,466,2078,794,501,336,260,208,293,272,492,495,7778,1,83,83,27,34,0,329,107,10,13,9,56,4,0,0,34,27,0,52,37,0,0,0,1,0,27,10,0,14.2044,0.2753,0.3559,0.4363,0.7922,9.6690,6.4846,1.0808,4.0143,0.0120,0.0000,0.4458,0.4426,3.1325,0.0000,0.0000,0.0000,5.2495,93.7108,0.0000,1.5204,0.4985,1.6154,0.3088
49,2040,145,1,1,1677,442,1940,644,403,398,239,227,237,220,424,442,7425,2,83,83,32,29,0,266,81,7,12,8,48,3,0,1,9,17,0,41,33,0,0,0,0,0,14,13,0,13.1544,0.2403,0.3347,0.3840,0.7187,8.1935,8.0919,0.9759,4.6152,0.0000,0.0000,0.3976,0.5246,2.8795,0.0000,0.0000,0.0000,4.4729,89.4578,0.0000,1.4232,0.4896,1.7533,0.2856
50,2040,145,1,1,1262,332,1372,499,303,298,226,93,156,146,342,317,5167,0,84,84,21,17,0,199,54,2,6,8,42,0,0,0,10,9,0,28,21,0,0,0,0,0,19,8,0,10.9789,0.2401,0.2956,0.3954,0.6910,8.2139,8.0783,1.1386,2.5211,0.0000,0.0000,0.2500,0.5526,2.6905,0.0000,0.0000,0.0000,3.9578,61.5119,0.0000,1.1928,0.5190,3.2043,0.2812
51,2040,145,1,1,1752,448,1929,749,453,419,281,149,239,213,439,432,7302,0,85,85,32,30,0,285,100,4,12,8,60,2,0,0,14,12,0,30,31,0,0,0,1,0,33,8,0,12.3348,0.2586,0.3190,0.4275,0.7465,9.1004,8.4174,1.2054,2.9933,0.0118,0.0000,0.3647,0.5161,3.3059,0.0000,0.0000,0.0000,4.2790,85.9059,0.0000,1.3438,0.5040,2.8121,0.3058
52,2040,145,1,1,1717,455,1917,667,414,432,216,164,216,200,414,470,7154,0,84,84,26,24,0,279,73,7,16,6,56,1,0,3,24,13,0,29,29,0,0,0,1,1,23,7,0,11.6901,0.2411,0.3094,0.3885,0.6979,8.1890,8.5451,1.1077,3.2440,0.0119,0.0000,0.3452,0.5200,2.5714,0.0000,0.0000,0.0000,3.9560,85.1667,0.0000,1.2703,0.4683,2.6341,0.2876
53,2040,145,1,1,1673,420,1858,717,442,398,218,138,257,232,387,430,6796,1,85,85,21,35,0,291,84,5,12,10,57,1,0,0,20,30,0,26,23,0,0,0,0,0,22,7,0,13.0611,0.2642,0.3292,0.4286,0.7578,9.4639,8.5218,1.2205,2.9548,0.0000,0.0000,0.2706,0.3750,2.5647,0.0000,0.0000,0.0000,4.9675,79.9529,0.0000,1.3799,0.4737,2.8841,0.3130
54,2040,145,1,1,1695,434,1870,713,437,407,229,138,242,222,394,452,7038,1,85,85,23,28,0,284,87,3,17,9,57,1,1,1,16,16,0,31,30,0,0,0,1,1,19,8,0,12.2464,0.2578,0.3167,0.4206,0.7374,9.0553,8.4336,1.1811,2.8596,0.0118,0.0000,0.3529,0.4510,2.6941,0.0000,0.0000,0.0000,4.6002,82.8000,0.0000,1.3239,0.4657,2.9493,0.3045
55,2040,145,1,1,1802,490,1956,668,393,497,276,127,188,166,439,466,7401,1,86,86,33,22,0,250,75,4,7,4,64,0,1,0,9,15,0,42,37,0,0,0,0,0,20,15,0,9.8199,0.2181,0.2742,0.3707,0.6449,7.2135,9.1224,1.1747,2.3311,0.0000,0.0000,0.4302,0.6000,3.2093,0.0000,0.0000,0.0000,3.0469,86.0581,0.0000,1.0605,0.4851,3.9134,0.2636
56,2040,145,1,1,1781,461,1940,706,456,357,207,126,209,197,489,475,7201,0,83,83,24,26,0,315,83,9,9,7,51,1,0,0,17,15,0,40,27,0,0,0,1,0,21,11,0,11.6551,0.2560,0.3092,0.3964,0.7056,8.9024,6.9696,0.9957,2.4599,0.0120,0.0000,0.3253,0.4800,2.4940,0.0000,0.0000,0.0000,3.8460,86.7590,0.0000,1.2625,0.5073,2.8333,0.2931
57,2040,145,1,1,1412,352,1574,686,406,291,180,131,215,206,339,376,5741,2,83,83,12,23,0,258,79,4,10,6,63,1,0,0,18,17,0,37,18,0,0,0,0,0,17,4,0,14.1380,0.2875,0.3529,0.4858,0.8387,10.3611,7.4263,1.6078,3.3431,0.0000,0.0000,0.2169,0.3429,2.1687,0.0000,0.0000,0.0000,5.2571,69.1687,0.0000,1.5227,0.4741,2.2214,0.3212
58,2040,145,1,1,1823,474,1978,721,470,394,279,123,226,213,464,485,7363,1,85,85,30,22,0,322,89,6,8,15,44,0,0,0,15,18,0,53,32,0,0,0,2,2,16,10,0,11.5931,0.2578,0.3098,0.3955,0.7053,8.9178,7.4758,0.8349,2.3338,0.0235,0.0000,0.3765,0.5769,3.2824,0.0000,0.0000,0.0000,4.0415,86.6235,0.0000,1.2502,0.4889,3.2033,0.3058
59,2040,145,1,1,1888,473,2016,808,494,350,296,100,245,218,482,546,7204,1,83,83,37,25,0,323,97,6,12,5,69,2,0,0,18,10,0,32,35,0,0,0,0,0,20,3,0,11.4845,0.2617,0.3005,0.4280,0.7285,9.3930,6.6549,1.3120,1.9014,0.0000,0.0000,0.4217,0.5968,3.5663,0.0000,0.0000,0.0000,4.1451,86.7952,0.0000,1.2549,0.4689,3.5000,0.2870
60,2040,145,1,1,1528,406,1728,573,373,339,266,169,205,184,434,378,6580,1,82,82,26,22,0,259,66,5,11,10,38,1,0,0,14,15,0,42,19,0,0,0,0,0,22,15,0,12.3372,0.2441,0.3233,0.3750,0.6983,8.2617,7.5086,0.8417,3.7432,0.0000,0.0000,0.2317,0.5417,3.2439,0.0000,0.0000,0.0000,4.0755,80.2439,0.0000,1.3339,0.5345,2.0059,0.2883
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
157,2040,146,2,1,1709,436,1886,622,450,398,247,141,216,195,526,325,7038,2,75,75,30,26,0,333,86,8,11,7,24,0,1,7,16,16,0,20,35,0,0,0,2,0,36,16,0,12.5107,0.2633,0.3234,0.3640,0.6873,9.2748,8.2031,0.4947,2.9061,0.0267,0.0000,0.4667,0.5357,3.2933,0.0000,0.0000,0.0000,4.0191,93.8400,0.0000,1.3534,0.6181,2.8227,0.3282
158,2040,146,2,1,1504,385,1617,590,376,358,244,84,180,158,467,282,6084,1,73,73,23,20,0,243,86,3,8,13,34,4,0,0,18,18,0,14,22,0,0,0,0,0,36,27,0,11.1644,0.2500,0.2962,0.3923,0.6884,8.7820,8.3616,0.7941,1.9619,0.0000,0.0000,0.3014,0.5349,3.3425,0.0000,0.0000,0.0000,3.6903,83.3425,0.0000,1.1938,0.6235,4.2619,0.3054
159,2040,146,2,1,1696,438,1851,659,406,506,221,117,220,194,455,315,7050,0,74,74,25,27,0,261,86,5,10,10,49,1,1,1,19,22,0,13,37,0,0,0,2,2,51,17,0,11.1986,0.2394,0.2954,0.3886,0.6840,8.3425,10.3973,1.0068,2.4041,0.0270,0.0000,0.5000,0.4808,2.9865,0.0000,0.0000,0.0000,3.9863,95.2703,0.0000,1.1941,0.5909,4.3248,0.3102
160,2040,146,2,1,1605,402,1761,636,454,332,234,118,225,188,493,318,6532,2,75,75,25,26,0,322,102,8,15,10,20,3,0,1,13,15,0,24,29,0,0,0,0,0,45,26,0,13.1200,0.2829,0.3349,0.3963,0.7311,10.1474,7.4205,0.4470,2.6374,0.0000,0.0000,0.3867,0.4902,3.1200,0.0000,0.0000,0.0000,4.2020,87.0933,0.0000,1.4205,0.6079,2.8136,0.3423
161,2040,146,2,1,1653,408,1838,745,489,312,217,148,271,245,518,318,6791,0,74,74,22,33,0,323,113,7,5,16,37,2,0,0,24,25,0,25,24,0,0,0,1,1,45,39,0,14.6029,0.2958,0.3616,0.4507,0.8122,10.7868,6.8824,0.8162,3.2647,0.0135,0.0000,0.3243,0.4000,2.9324,0.0000,0.0000,0.0000,5.4044,91.7703,0.0000,1.5613,0.6196,2.1081,0.3453
162,2040,147,2,1,1584,393,1795,778,471,311,253,170,291,265,450,344,6825,1,75,75,18,27,0,297,99,4,19,17,58,1,0,0,35,18,0,37,24,0,0,0,0,0,38,19,0,15.0788,0.2973,0.3680,0.4912,0.8591,10.7771,7.1161,1.3271,3.8898,0.0000,0.0000,0.3200,0.4000,3.3733,0.0000,0.0000,0.0000,6.0636,91.0000,0.0000,1.6297,0.5668,1.8294,0.3347
163,2040,146,2,1,1624,415,1786,621,429,377,186,120,216,197,500,316,6726,1,74,74,22,29,0,303,90,8,10,6,30,2,0,0,24,24,0,21,37,0,0,0,0,0,34,20,0,12.4165,0.2642,0.3223,0.3824,0.7047,9.2961,8.1693,0.6501,2.6003,0.0000,0.0000,0.5000,0.4314,2.5135,0.0000,0.0000,0.0000,4.2689,90.8919,0.0000,1.3218,0.6127,3.1417,0.3252
