team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
167,2040,146,2,0,0,69,690,2660,761,1847,52,31,0,10,190,76,0,5541,0,0.9805,4.2361,0.4000,0.0000
168,2040,146,2,0,0,68,680,2582,694,1842,46,38,0,11,138,56,0,5526,0,0.9822,4.1303,0.4058,0.0000
169,2040,146,2,0,0,69,690,2620,706,1871,43,26,0,6,186,56,0,5613,0,0.9836,4.1320,0.3011,0.0000
170,2040,146,2,0,0,68,680,2669,793,1835,41,33,0,6,190,68,0,5505,0,0.9846,4.2965,0.3579,0.0000
171,2040,147,2,0,0,69,690,2532,647,1834,51,47,0,5,220,58,0,5502,0,0.9799,4.0583,0.2636,0.0000
172,2040,147,2,0,0,69,690,2587,700,1842,45,54,0,8,188,52,0,5526,0,0.9826,4.1401,0.2766,0.0000
173,2040,147,2,0,0,69,690,2534,687,1800,47,49,0,9,268,64,0,5403,0,0.9815,4.1427,0.2388,0.0000
174,2040,147,2,0,0,69,690,2622,741,1826,55,51,0,10,234,66,0,5478,0,0.9790,4.2174,0.2821,0.0000
175,2040,147,2,0,0,68,680,2506,645,1817,44,40,0,7,208,52,0,5451,0,0.9824,4.0649,0.2500,0.0000
176,2040,146,2,0,0,69,690,2590,714,1832,44,36,0,5,180,66,0,5496,0,0.9830,4.1692,0.3667,0.0000
177,2040,147,2,0,0,69,690,2514,627,1836,51,42,0,3,198,58,0,5508,0,0.9797,4.0245,0.2929,0.0000
178,2040,147,2,0,0,69,690,2519,621,1848,50,52,0,11,162,52,0,5547,0,0.9802,4.0059,0.3210,0.0000
179,2040,147,2,0,0,68,680,2558,717,1798,43,50,0,7,274,60,0,5394,0,0.9832,4.1963,0.2190,0.0000
180,2040,147,2,0,0,69,690,2542,656,1842,44,37,0,3,144,42,0,5526,0,0.9827,4.0684,0.2917,0.0000
