message_id,subject,player_id_0,player_id_1,player_id_2,player_id_3,player_id_4,team_id_0,team_id_1,team_id_2,team_id_3,team_id_4,league_id_0,league_id_1,importance,message_type,hype,sender_type,sender_id,recipient_id,trade_id,date,deleted,notify,ongoing_story_id,text_is_modified
1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,65,0,"2039-1-1",0,1,-1,0
2,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,65,0,"2039-1-1",0,1,-1,0
3,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,76,0,"2039-1-1",0,1,-1,0
4,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,61,0,"2039-1-1",0,1,-1,0
5,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,72,0,"2039-1-1",0,1,-1,0
6,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59,34,0,"2039-1-1",0,1,-1,0
7,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,5,0,"2039-1-1",0,1,-1,0
8,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,5,0,"2039-1-1",0,1,-1,0
9,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,7,0,"2039-1-1",0,1,-1,0
10,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,38,0,"2039-1-1",0,1,-1,0
11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,48,0,"2039-1-1",0,1,-1,0
12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,48,0,"2039-1-1",0,1,-1,0
13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46,15,0,"2039-1-1",0,1,-1,0
14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,14,0,"2039-1-1",0,1,-1,0
15,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,14,0,"2039-1-1",0,1,-1,0
16,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,52,0,"2039-1-1",0,1,-1,0
17,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58,66,0,"2039-1-1",0,1,-1,0
18,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,9,0,"2039-1-1",0,1,-1,0
19,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,67,0,"2039-1-1",0,1,-1,0
20,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,60,0,"2039-1-1",0,1,-1,0
21,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,29,0,"2039-1-1",0,1,-1,0
22,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,62,0,"2039-1-1",0,1,-1,0
23,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51,17,0,"2039-1-1",0,1,-1,0
24,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,44,0,"2039-1-1",0,1,-1,0
25,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,44,0,"2039-1-1",0,1,-1,0
26,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,6,0,"2039-1-1",0,1,-1,0
27,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,6,0,"2039-1-1",0,1,-1,0
28,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,74,0,"2039-1-1",0,1,-1,0
29,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,74,0,"2039-1-1",0,1,-1,0
30,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,71,0,"2039-1-1",0,1,-1,0
31,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,55,0,"2039-1-1",0,1,-1,0
32,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,28,0,"2039-1-1",0,1,-1,0
33,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,28,0,"2039-1-1",0,1,-1,0
34,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,2,0,"2039-1-1",0,1,-1,0
35,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,33,0,"2039-1-1",0,1,-1,0
36,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,46,0,"2039-1-1",0,1,-1,0
37,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,63,0,"2039-1-1",0,1,-1,0
38,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,22,0,"2039-1-1",0,1,-1,0
39,"",1398,0,0,0,0,58,0,0,0,0,0,0,0,2,0,2,1398,66,0,"2039-1-1",0,1,-1,0
