player_id,team_id,league_id,position,role,uniform_number,playing_level,is_active,is_on_secondary,is_on_dl,is_on_dl60,must_be_active,just_signed,was_on_active,was_on_secondary,was_on_dl,mlb_service_years,secondary_service_years,pro_service_years,mlb_service_days,secondary_service_days,pro_service_days,mlb_service_days_this_year,secondary_service_days_this_year,pro_service_days_this_year,dl_days_this_year,years_protected_from_rule_5,is_on_waivers,designated_for_assignment,irrevocable_waivers,days_on_waivers,days_on_waivers_left,days_on_dfa_left,claimed_team_id,last_day_on_waivers,options_used,option_used_this_year,has_received_arbitration,was_traded,trade_status
1,603,172,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1428,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,896,102,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,34,-145,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,903,103,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,218,151,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1215,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15,605,172,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,673,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,881,102,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
24,299,158,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,521,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
26,42,-145,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
28,48,-145,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,722,0,0,61,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
37,287,156,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1284,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
42,49,145,1,11,0,0,1,1,0,0,0,0,0,0,0,0,2,7,128,404,1434,60,60,60,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0
43,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1164,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
45,296,157,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,521,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
46,269,155,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1399,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,319,160,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1242,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
49,248,154,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,715,0,0,60,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
50,49,-145,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
52,314,159,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,660,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
54,319,160,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,721,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
58,315,159,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,521,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
60,261,155,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1317,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
61,41,-145,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
62,251,154,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1317,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,319,160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,688,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
68,620,172,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1827,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
69,319,160,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,688,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
73,204,149,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1179,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
