human_manager_id,team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,cera,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
2,39,2025,145,1,2,1,1,5638,1431,6464,2612,1585,1411,412,648,928,868,1419,1273,24141,1,678,162,62,100,38,1031,301,58,41,33,220,7,1,51,81,78,160,134,53,63,25,516,2,1,115,22,55,14.5312,0.2811,0.3608,0.4633,0.8241,9.9662,8.8721,1.3833,4.0745,0.0123,'',0.0000,0.3272,0.3827,2.5432,0.6032,0.3968,0.3101,5.4578,35.6062,0.0000,1.5601,0.5271,2.1775,0.3372
2,39,2026,145,1,2,1,1,5672,1425,6510,2661,1617,1146,453,689,965,896,1483,1456,24160,1,669,162,58,104,35,1044,322,51,48,31,220,6,0,67,60,50,161,119,51,57,22,507,1,1,127,24,58,14.8765,0.2851,0.3648,0.4691,0.8339,10.2102,7.2362,1.3891,4.3506,0.0062,'',0.0000,0.3148,0.3580,2.7963,0.6140,0.3860,0.3176,5.6576,36.1136,0.0000,1.6179,0.5046,1.6633,0.3209
2,39,2027,145,1,2,1,1,5725,1449,6507,2583,1604,1283,489,615,942,861,1407,1452,24211,2,641,162,74,88,42,1062,304,51,50,39,199,4,1,53,58,65,159,125,57,68,23,479,3,2,112,32,74,14.1798,0.2802,0.3538,0.4512,0.8050,9.9582,7.9653,1.2355,3.8181,0.0185,'',0.0000,0.3519,0.4568,3.0185,0.6462,0.3382,0.3319,5.3454,37.7707,0.0000,1.5307,0.4921,2.0862,0.3273
2,39,2028,145,1,2,1,1,5620,1446,6340,2474,1496,1288,465,562,825,768,1499,1364,23923,1,631,162,75,87,50,968,289,52,42,28,211,2,1,8,54,63,161,114,69,80,29,469,1,0,112,30,63,13.1982,0.2662,0.3374,0.4402,0.7776,9.3091,8.0147,1.3130,3.4971,0.0062,'',0.0000,0.4259,0.4630,2.8704,0.6329,0.3625,0.3433,4.7790,37.9128,0.0000,1.4229,0.5236,2.2918,0.3087
2,39,2029,145,1,2,1,1,5487,1467,6114,2066,1286,1334,537,478,610,562,1448,1440,22753,1,579,162,103,59,55,834,271,50,41,34,147,6,0,8,63,58,159,123,94,79,19,417,3,3,90,27,73,11.1754,0.2344,0.3005,0.3765,0.6770,7.8878,8.1822,0.9016,2.9318,0.0185,'',0.0000,0.5802,0.6358,3.3148,0.7432,0.2405,0.3813,3.4471,39.2971,0.0000,1.2022,0.5014,2.7908,0.2814
2,39,2030,145,1,2,1,1,5443,1446,6018,2051,1274,1476,505,439,607,568,1353,1366,23011,0,613,162,104,58,55,836,256,42,40,25,157,3,1,11,72,53,160,95,78,91,34,451,2,2,75,33,86,10.9917,0.2341,0.2956,0.3768,0.6724,7.9295,9.1867,0.9772,2.7324,0.0123,'',0.0000,0.4815,0.6420,3.1173,0.6180,0.3736,0.3548,3.5353,37.5383,0.0000,1.1846,0.4976,3.3622,0.2901
2,39,2031,145,1,2,1,1,5481,1456,6065,2137,1334,1476,575,436,614,573,1389,1334,22926,0,603,163,99,64,56,875,272,51,46,30,157,0,1,9,49,50,162,116,86,75,17,440,1,0,103,33,62,11.2500,0.2434,0.3027,0.3899,0.6926,8.2459,9.1236,0.9705,2.6951,0.0061,'',0.0000,0.5276,0.6074,3.5276,0.7671,0.2267,0.3682,3.5419,38.0199,0.0000,1.2157,0.5101,3.3853,0.3023
2,39,2032,145,1,2,1,1,5577,1468,6133,2219,1324,1434,503,419,657,602,1391,1425,23009,1,603,162,86,76,50,850,252,43,29,23,199,4,0,12,55,65,161,106,80,80,27,441,1,1,82,28,81,11.0820,0.2374,0.2969,0.3979,0.6948,8.1153,8.7896,1.2198,2.5682,0.0062,'',0.0000,0.4938,0.5309,3.1049,0.6494,0.3375,0.3651,3.6899,38.1575,0.0000,1.1871,0.4940,3.4224,0.2832
2,39,2033,145,1,2,1,1,5573,1464,6240,2212,1368,1518,510,510,701,638,1342,1353,23647,2,650,162,88,74,50,886,288,44,40,26,168,5,1,10,60,72,159,121,82,74,24,488,3,2,89,32,62,11.9822,0.2455,0.3148,0.3969,0.7117,8.4060,9.3277,1.0323,3.1338,0.0185,'',0.0000,0.5062,0.5432,3.1481,0.6757,0.3243,0.3258,3.9203,36.3800,0.0000,1.2822,0.4980,2.9765,0.3056
2,39,2034,145,1,2,1,1,5445,1463,6077,2245,1287,1447,594,473,682,632,1420,1314,23089,1,617,162,107,55,59,790,255,55,35,23,219,8,1,12,68,68,162,144,81,82,20,455,0,0,82,33,83,11.2428,0.2364,0.3036,0.4123,0.7159,7.9155,8.8995,1.3469,2.9091,0.0000,'',0.0000,0.5000,0.6605,3.6667,0.7468,0.2439,0.3560,3.8870,37.4214,0.0000,1.2027,0.5194,3.0592,0.2800
2,39,2035,145,1,2,1,1,5600,1448,6226,2467,1463,1289,498,452,798,735,1442,1442,22836,1,660,162,76,86,44,917,304,55,49,26,216,1,2,13,62,68,162,123,61,74,29,498,0,0,103,34,68,12.3224,0.2612,0.3214,0.4405,0.7620,9.0911,8.0099,1.3422,2.8087,0.0000,'',0.0000,0.3765,0.4691,3.0741,0.6027,0.3919,0.3253,4.5673,34.6000,0.0000,1.3222,0.5000,2.8518,0.3009
2,39,2036,145,1,2,1,1,5661,1452,6369,2571,1515,1317,513,540,863,796,1514,1345,23864,0,693,162,79,83,48,950,305,63,37,29,231,7,0,16,74,68,160,113,66,74,25,531,2,0,107,42,75,13.1591,0.2676,0.3367,0.4542,0.7908,9.3905,8.1632,1.4318,3.3471,0.0123,'',0.0000,0.4074,0.4877,3.1667,0.6575,0.3378,0.3013,4.9339,34.4358,0.0000,1.4153,0.5296,2.4389,0.3094
2,39,2037,145,1,2,1,1,5565,1475,6262,2317,1362,1211,497,560,705,661,1555,1437,23269,2,624,162,89,73,51,853,276,21,42,20,213,2,2,7,58,72,160,146,64,83,31,462,2,1,91,53,68,12.1613,0.2447,0.3196,0.4164,0.7360,8.3068,7.3858,1.2991,3.4154,0.0123,'',0.0000,0.3951,0.5494,3.0679,0.6220,0.3735,0.3463,4.0314,37.2901,0.0000,1.3025,0.5197,2.1625,0.2747
2,39,2038,145,1,2,1,1,5516,1429,6170,2422,1421,1298,491,543,789,741,1467,1325,22994,2,570,162,73,89,47,884,293,20,30,24,220,10,1,4,65,60,159,140,63,78,27,408,3,0,63,25,54,12.7414,0.2576,0.3292,0.4391,0.7682,8.9454,8.1711,1.3849,3.4183,0.0185,'',0.0000,0.3889,0.4506,3.0309,0.6351,0.3462,0.3897,4.6647,40.3404,0.0000,1.3737,0.5254,2.3904,0.2982
2,39,2039,145,1,2,1,1,5637,1436,6378,2737,1546,1246,398,576,915,868,1423,1431,23927,1,633,162,66,96,43,922,320,27,47,41,263,3,0,7,88,91,162,138,46,70,23,471,0,0,105,35,56,13.8666,0.2743,0.3484,0.4855,0.8340,9.6872,7.8074,1.6479,3.6092,0.0000,'',0.0000,0.2840,0.4074,2.4568,0.6515,0.3286,0.3439,5.4388,37.7994,0.0000,1.4774,0.4986,2.1632,0.3073
2,39,2040,145,1,2,1,1,1863,478,2046,733,488,350,173,151,238,222,535,484,7456,2,180,53,28,25,18,346,85,5,11,11,46,0,0,5,21,16,52,41,24,24,5,127,1,1,35,12,24,12.3155,0.2619,0.3209,0.3935,0.7144,9.1755,6.5808,0.8649,2.8391,0.0189,'',0.0000,0.4528,0.5283,3.2642,0.7826,0.2083,0.4094,4.1741,41.4222,0.0000,1.3350,0.5250,2.3179,0.2991
3,32,2017,145,1,0,1,0,5579,1444,6276,2456,1476,1165,474,547,793,736,1698,1254,23040,1,656,162,70,92,33,924,320,56,33,36,196,3,0,46,52,61,155,133,71,48,15,494,7,3,116,32,53,12.9859,0.2646,0.3350,0.4402,0.7753,9.1973,7.2594,1.2213,3.4085,0.0432,'',0.0000,0.4383,0.4321,2.9259,0.6875,0.3125,0.3138,4.5862,35.1220,0.0000,1.4006,0.5752,2.1298,0.3011
3,32,2018,145,1,0,1,0,202,52,226,83,49,36,19,20,31,31,66,50,821,0,22,6,2,4,2,31,10,0,0,0,8,0,0,0,5,4,5,1,3,4,2,16,1,0,4,1,5,12.6346,0.2426,0.3230,0.4109,0.7339,8.4808,6.2308,1.3846,3.4615,0.1667,'',0.0000,0.5000,0.3333,3.1667,0.5000,0.5000,0.3125,5.3654,37.3182,0.0000,1.3269,0.5690,1.8000,0.2595
3,33,2021,145,0,0,1,0,5745,1447,6689,2747,1643,1109,476,784,1037,947,1624,1367,24711,1,625,162,57,105,33,1059,312,28,63,24,248,4,0,99,89,69,157,147,55,61,28,463,5,0,125,43,52,15.5210,0.2860,0.3747,0.4782,0.8529,10.2167,6.8961,1.5421,4.8752,0.0309,'',0.0000,0.3395,0.3519,2.9383,0.5410,0.4590,0.3391,5.8888,39.5376,0.0000,1.6769,0.5430,1.4145,0.3134
3,33,2022,145,0,0,1,0,5633,1436,6596,2715,1580,1122,448,832,1043,965,1641,1291,24772,1,644,162,63,99,40,996,292,25,44,33,259,7,1,63,74,61,161,160,40,64,24,482,1,1,102,42,60,15.4957,0.2805,0.3764,0.4820,0.8584,9.9002,7.0304,1.6229,5.2133,0.0062,'',0.0000,0.2469,0.3889,2.7654,0.6250,0.3750,0.3340,6.0466,38.4658,0.0000,1.6793,0.5597,1.3486,0.3075
3,33,2023,145,0,0,1,1,5580,1430,6341,2731,1495,1420,457,634,944,886,1303,1368,24081,1,776,161,77,84,39,863,318,18,40,24,290,2,1,27,66,68,159,135,41,69,29,615,2,0,86,26,88,13.8241,0.2679,0.3475,0.4894,0.8369,9.4069,8.9350,1.8247,3.9893,0.0124,'',0.0000,0.2547,0.4783,2.8385,0.5735,0.4203,0.2585,5.5749,31.0322,0.0000,1.4885,0.4878,2.2397,0.3082
3,33,2024,145,0,0,1,1,5547,1442,6222,2519,1420,1367,551,574,854,800,1356,1393,23598,0,740,162,83,79,44,872,261,20,32,23,264,2,2,7,56,47,161,135,50,73,27,578,1,1,98,37,89,12.7386,0.2560,0.3292,0.4541,0.7833,8.8627,8.5319,1.6477,3.5825,0.0062,'',0.0000,0.3086,0.5123,3.4012,0.6197,0.3699,0.2785,4.9931,31.8892,0.0000,1.3828,0.4933,2.3815,0.2928
3,33,2025,145,0,0,1,1,5581,1441,6330,2500,1450,1471,587,623,813,760,1372,1276,24129,0,642,162,96,66,52,900,289,15,43,22,239,6,0,65,73,68,159,140,60,81,24,480,3,1,71,34,72,13.3720,0.2598,0.3390,0.4479,0.7870,9.0562,9.1874,1.4927,3.8910,0.0185,'',0.0000,0.3704,0.5926,3.6235,0.6842,0.2963,0.3312,4.7467,37.5841,0.0000,1.4386,0.5181,2.3612,0.3094
