team_id,player_id,list_id
31,42499,1
31,21249,2
31,34214,3
31,42499,4
31,35914,1
31,22102,2
31,35448,3
31,22102,1
31,40591,2
31,26954,3
31,21249,1
31,41386,2
31,41386,3
31,2089,1
31,2089,2
31,43664,3
31,42468,1
31,35914,2
31,39872,3
31,20741,1
31,43664,2
31,21914,3
31,40439,1
31,28020,2
31,22102,3
31,40796,1
31,38385,2
31,20741,3
31,40591,1
31,39872,2
31,21249,3
31,41386,1
31,23997,2
31,40591,3
31,38385,1
31,40796,2
31,31211,3
31,26954,2
31,2089,3
31,39872,1
31,40014,2
31,38385,3
31,23997,1
31,42468,2
31,44586,3
31,26954,1
31,40439,2
31,30054,3
31,40014,1
31,41742,3
31,34979,3
31,20741,2
31,19797,3
31,28020,1
31,42468,3
31,37626,1
31,23997,3
31,40796,3
31,40439,3
31,43664,1
31,19719,2
31,42499,3
31,19719,1
31,37626,2
31,41260,3
31,43829,3
31,34979,1
31,31211,2
31,28485,3
31,34979,2
31,40563,3
31,43829,1
31,35914,3
31,31211,1
31,26829,3
31,40563,2
31,37626,3
31,40563,1
31,27455,2
31,26024,3
31,19719,3
31,27455,1
31,40014,3
31,43829,2
31,28020,3
31,34214,2
31,27455,3
31,34214,1
32,2020,1
32,44250,2
32,34376,3
32,44113,4
32,40089,1
32,42031,2
32,39469,3
32,29859,1
32,44633,2
32,19929,3
32,25861,4
32,40225,1
32,40089,2
32,42031,3
32,40552,4
32,44250,1
32,38896,2
32,29859,3
32,41542,1
32,2020,2
32,40089,3
32,40746,1
32,42222,2
32,2020,3
32,19929,1
32,41265,2
32,41265,3
32,38896,1
32,40746,2
32,42222,3
32,41265,1
32,38186,2
32,40746,3
32,42222,1
32,1286,2
32,1550,3
32,29859,2
32,12776,1
32,34376,2
32,39840,3
32,44633,1
32,39840,2
32,40225,3
32,34376,1
32,19929,2
32,37690,3
32,1550,1
32,1550,2
32,44633,3
32,25861,1
32,28594,2
32,1286,3
32,41280,1
32,22744,3
32,44113,1
32,37690,2
32,44250,3
32,41280,2
32,39840,1
32,38549,3
32,42031,1
32,41542,2
32,38186,3
32,28594,1
32,22744,2
32,38896,3
32,40225,2
32,41542,3
32,37690,1
32,20759,3
32,22744,1
32,38549,2
32,38549,1
32,20759,2
32,15069,3
32,40552,1
32,28594,3
32,20759,1
32,36456,3
32,38024,2
32,38024,3
32,38024,1
32,12776,3
32,12776,2
32,42291,3
32,41280,3
32,38186,1
32,1286,1
33,46349,1
33,34020,2
33,46349,3
33,44536,4
33,40927,1
33,37996,2
33,40927,3
33,39138,4
33,39022,1
33,34651,2
33,39022,3
33,44536,1
33,40319,2
33,44536,3
33,41190,1
33,42326,2
33,41190,3
33,44101,1
33,20882,2
33,27811,3
33,27811,1
33,32981,2
33,33272,3
33,33272,1
33,40927,2
33,41239,3
33,41239,1
33,46349,2
33,32981,3
