league_id,sub_league_id,year,all_star_pos,all_star
145,0,1938,22,16344
145,0,1938,23,17634
145,1,1938,0,16557
145,1,1938,1,10457
145,1,1938,2,11210
145,1,1938,3,8289
145,1,1938,4,7746
145,1,1938,5,6040
145,1,1938,6,11529
145,1,1938,7,12821
145,1,1938,8,7401
145,1,1938,9,3834
145,1,1938,10,5243
145,1,1938,11,5380
145,1,1938,12,5643
145,1,1938,13,8042
145,1,1938,14,8746
145,1,1938,15,10094
145,1,1938,16,10158
145,1,1938,17,10205
145,1,1938,18,10938
145,1,1938,19,11965
145,1,1938,20,13234
145,1,1938,21,16417
145,1,1938,22,16573
145,1,1938,23,16821
145,0,1939,0,14354
145,0,1939,1,5699
145,0,1939,2,7549
145,0,1939,3,7417
145,0,1939,4,14209
145,0,1939,5,5183
145,0,1939,6,14822
145,0,1939,7,5737
145,0,1939,8,5110
145,0,1939,9,2486
145,0,1939,10,3710
145,0,1939,11,4363
145,0,1939,12,5189
145,0,1939,13,6453
145,0,1939,14,6780
145,0,1939,15,7112
145,0,1939,16,7355
145,0,1939,17,7655
145,0,1939,18,8115
145,0,1939,19,8219
145,0,1939,20,8477
145,0,1939,21,9080
145,0,1939,22,10644
145,0,1939,23,11492
145,0,1939,24,12234
145,0,1939,25,12430
145,1,1939,0,5643
145,1,1939,1,10457
145,1,1939,2,11210
145,1,1939,3,6844
145,1,1939,4,7746
145,1,1939,5,16573
145,1,1939,6,11529
145,1,1939,7,12821
145,1,1939,8,7401
145,1,1939,9,2527
145,1,1939,10,4181
145,1,1939,11,5380
145,1,1939,12,5450
145,1,1939,13,6497
145,1,1939,14,8289
145,1,1939,15,9315
145,1,1939,16,10094
145,1,1939,17,10158
145,1,1939,18,11853
145,1,1939,19,11977
145,1,1939,20,13234
145,1,1939,21,16557
145,1,1939,22,16809
145,1,1939,23,16856
145,1,1939,24,17584
145,0,1940,0,14354
145,0,1940,1,5699
145,0,1940,2,6780
145,0,1940,3,7417
145,0,1940,4,16344
145,0,1940,5,2486
145,0,1940,6,17277
145,0,1940,7,5737
145,0,1940,8,9442
145,0,1940,9,3516
145,0,1940,10,3710
145,0,1940,11,5110
145,0,1940,12,6453
145,0,1940,13,6546
145,0,1940,14,7549
145,0,1940,15,8115
145,0,1940,16,8219
145,0,1940,17,9080
145,0,1940,18,9490
145,0,1940,19,10252
145,0,1940,20,10680
145,0,1940,21,11492
145,0,1940,22,11798
145,0,1940,23,12430
145,0,1940,24,13053
145,0,1940,25,14209
145,1,1940,0,5643
145,1,1940,1,10457
145,1,1940,2,11853
145,1,1940,3,8289
145,1,1940,4,10094
145,1,1940,5,16573
145,1,1940,6,11529
145,1,1940,7,11977
145,1,1940,8,17042
145,1,1940,9,5028
145,1,1940,10,5380
145,1,1940,11,6040
145,1,1940,12,6839
145,1,1940,13,8389
145,1,1940,14,8746
145,1,1940,15,9315
145,1,1940,16,10205
145,1,1940,17,11091
145,1,1940,18,11210
145,1,1940,19,11723
145,1,1940,20,11965
145,1,1940,21,12150
145,1,1940,22,12450
145,1,1940,23,12821
145,1,1940,24,13234
145,1,1940,25,16809
145,1,1940,26,17584
145,0,1941,0,6453
145,0,1941,1,5699
145,0,1941,2,17634
145,0,1941,3,5782
145,0,1941,4,16344
145,0,1941,5,5183
145,0,1941,6,17277
145,0,1941,7,5737
145,0,1941,8,8149
145,0,1941,9,2486
145,0,1941,10,3108
145,0,1941,11,3516
145,0,1941,12,5257
145,0,1941,13,5736
145,0,1941,14,6780
145,0,1941,15,7417
145,0,1941,16,8115
145,0,1941,17,8765
145,0,1941,18,9442
145,0,1941,19,9490
145,0,1941,20,10180
145,0,1941,21,14354
145,0,1941,22,14384
145,0,1941,23,15241
145,0,1941,24,16057
145,1,1941,0,17584
145,1,1941,1,12840
145,1,1941,2,11853
145,1,1941,3,6844
145,1,1941,4,7746
145,1,1941,5,16573
145,1,1941,6,11977
145,1,1941,7,13825
145,1,1941,8,12450
145,1,1941,9,3324
145,1,1941,10,4181
145,1,1941,11,5380
145,1,1941,12,5643
145,1,1941,13,6188
145,1,1941,14,8289
145,1,1941,15,8746
145,1,1941,16,10094
145,1,1941,17,10205
145,1,1941,18,10491
145,1,1941,19,11210
145,1,1941,20,11529
145,1,1941,21,11723
145,1,1941,22,12821
145,1,1941,23,12982
145,1,1941,24,15166
145,1,1941,25,16809
145,1,1941,26,16856
145,0,1942,0,4473
145,0,1942,1,16057
145,0,1942,2,17634
145,0,1942,3,7417
145,0,1942,4,9490
145,0,1942,5,3516
145,0,1942,6,17277
145,0,1942,7,5737
145,0,1942,8,8257
145,0,1942,9,2630
145,0,1942,10,3108
145,0,1942,11,3439
145,0,1942,12,5699
145,0,1942,13,5736
145,0,1942,14,5782
145,0,1942,15,8765
145,0,1942,16,8795
145,0,1942,17,9080
145,0,1942,18,11492
145,0,1942,19,12419
145,0,1942,20,14047
145,0,1942,21,14250
145,0,1942,22,14354
145,0,1942,23,15241
145,0,1942,24,15439
145,0,1942,25,16699
145,1,1942,0,4968
145,1,1942,1,4971
145,1,1942,2,11853
145,1,1942,3,3819
145,1,1942,4,16573
145,1,1942,5,11723
145,1,1942,6,11529
145,1,1942,7,13825
145,1,1942,8,12821
145,1,1942,9,5643
145,1,1942,10,6188
145,1,1942,11,8289
145,1,1942,12,8746
145,1,1942,13,10401
145,1,1942,14,10457
145,1,1942,15,10925
145,1,1942,16,11210
145,1,1942,17,11566
145,1,1942,18,11977
145,1,1942,19,12840
145,1,1942,20,12982
145,1,1942,21,13784
145,1,1942,22,15166
145,1,1942,23,15568
145,1,1942,24,16557
145,1,1942,25,16809
145,1,1942,26,17584
145,0,1943,0,10252
145,0,1943,1,6078
145,0,1943,2,15051
145,0,1943,3,5782
145,0,1943,4,9490
145,0,1943,5,15627
145,0,1943,6,16715
145,0,1943,7,9927
145,0,1943,8,4363
145,0,1943,9,2486
145,0,1943,10,2630
145,0,1943,11,3439
145,0,1943,12,3516
145,0,1943,13,4473
145,0,1943,14,5699
145,0,1943,15,7417
145,0,1943,16,8149
145,0,1943,17,8795
145,0,1943,18,9080
145,0,1943,19,9301
145,0,1943,20,9442
145,0,1943,21,10347
145,0,1943,22,12419
145,0,1943,23,14250
145,0,1943,24,15195
145,0,1943,25,17634
145,1,1943,0,4968
145,1,1943,1,4971
145,1,1943,2,6639
145,1,1943,3,8289
145,1,1943,4,7746
145,1,1943,5,10883
145,1,1943,6,12273
145,1,1943,7,16740
145,1,1943,8,12450
145,1,1943,9,2216
145,1,1943,10,5328
145,1,1943,11,5738
145,1,1943,12,6844
145,1,1943,13,6948
145,1,1943,14,9008
145,1,1943,15,9913
145,1,1943,16,10027
145,1,1943,17,10457
145,1,1943,18,11210
145,1,1943,19,11723
145,1,1943,20,12821
145,1,1943,21,12840
145,1,1943,22,12982
145,1,1943,23,13397
145,1,1943,24,14860
145,1,1943,25,16557
145,1,1943,26,16731
145,0,1944,0,3489
145,0,1944,1,8219
145,0,1944,2,11492
145,0,1944,3,5782
145,0,1944,4,9490
145,0,1944,5,15627
145,0,1944,6,9080
145,0,1944,7,16399
145,0,1944,8,15439
145,0,1944,9,3516
145,0,1944,10,4363
145,0,1944,11,5257
145,0,1944,12,6487
145,0,1944,13,6777
145,0,1944,14,7656
145,0,1944,15,8115
145,0,1944,16,8400
145,0,1944,17,8488
145,0,1944,18,8795
145,0,1944,19,10252
145,0,1944,20,12181
145,0,1944,21,12419
145,0,1944,22,12430
145,0,1944,23,12875
145,0,1944,24,16380
145,0,1944,25,17634
145,1,1944,0,16809
145,1,1944,1,4971
145,1,1944,2,4431
145,1,1944,3,14396
145,1,1944,4,6188
145,1,1944,5,10883
145,1,1944,6,6948
145,1,1944,7,12273
145,1,1944,8,16731
145,1,1944,9,2458
145,1,1944,10,5738
145,1,1944,11,9008
145,1,1944,12,9098
145,1,1944,13,9913
145,1,1944,14,10027
145,1,1944,15,11210
145,1,1944,16,11529
145,1,1944,17,11723
145,1,1944,18,12144
145,1,1944,19,12184
145,1,1944,20,12450
145,1,1944,21,12821
145,1,1944,22,12840
145,1,1944,23,13640
145,1,1944,24,14860
145,1,1944,25,16261
145,1,1944,26,16662
145,1,1944,27,17698
145,0,1945,0,3489
145,0,1945,1,3516
145,0,1945,2,4363
145,0,1945,3,4572
145,0,1945,4,5243
145,0,1945,5,6316
145,0,1945,6,6487
145,0,1945,7,6493
145,0,1945,8,7549
145,0,1945,9,7619
145,0,1945,10,7636
145,0,1945,11,8115
145,0,1945,12,9080
145,0,1945,13,9833
145,0,1945,14,10180
145,0,1945,15,10252
145,0,1945,16,11105
145,0,1945,17,11492
145,0,1945,18,12099
145,0,1945,19,12419
145,0,1945,20,13877
145,0,1945,21,15627
145,0,1945,22,15685
145,0,1945,23,16361
145,1,1945,0,2833
145,1,1945,1,4431
145,1,1945,2,4968
145,1,1945,3,6188
145,1,1945,4,7570
145,1,1945,5,7746
145,1,1945,6,8599
145,1,1945,7,9098
145,1,1945,8,9913
145,1,1945,9,10457
145,1,1945,10,10883
145,1,1945,11,10997
145,1,1945,12,11210
145,1,1945,13,12185
145,1,1945,14,12450
145,1,1945,15,12606
145,1,1945,16,12821
145,1,1945,17,12872
145,1,1945,18,12982
145,1,1945,19,14169
