team_id,starter_0,starter_1,starter_2,starter_3,starter_4,starter_5,starter_6,starter_7
797,42704,0,0,0,0,0,0,0
798,44342,0,0,0,0,0,0,0
799,43080,0,0,0,0,0,0,0
800,44266,0,0,0,0,0,0,0
801,42609,0,0,0,0,0,0,0
802,43508,0,0,0,0,0,0,0
803,43273,0,0,0,0,0,0,0
804,44164,0,0,0,0,0,0,0
805,46081,0,0,0,0,0,0,0
806,44956,0,0,0,0,0,0,0
807,42764,0,0,0,0,0,0,0
808,44003,0,0,0,0,0,0,0
809,42261,0,0,0,0,0,0,0
810,42045,0,0,0,0,0,0,0
811,40863,0,0,0,0,0,0,0
812,40574,0,0,0,0,0,0,0
813,40616,0,0,0,0,0,0,0
814,36279,0,0,0,0,0,0,0
815,41828,0,0,0,0,0,0,0
816,42338,0,0,0,0,0,0,0
817,41233,0,0,0,0,0,0,0
818,40745,0,0,0,0,0,0,0
819,41317,0,0,0,0,0,0,0
820,41944,0,0,0,0,0,0,0
821,42178,0,0,0,0,0,0,0
822,41033,0,0,0,0,0,0,0
823,41442,0,0,0,0,0,0,0
824,38794,0,0,0,0,0,0,0
825,40951,0,0,0,0,0,0,0
826,41432,0,0,0,0,0,0,0
827,39547,0,0,0,0,0,0,0
828,40064,0,0,0,0,0,0,0
829,38509,0,0,0,0,0,0,0
830,39885,0,0,0,0,0,0,0
831,38169,0,0,0,0,0,0,0
832,39119,0,0,0,0,0,0,0
833,39329,0,0,0,0,0,0,0
834,40327,0,0,0,0,0,0,0
835,38952,0,0,0,0,0,0,0
836,39975,0,0,0,0,0,0,0
837,40246,0,0,0,0,0,0,0
838,39438,0,0,0,0,0,0,0
839,20934,0,0,0,0,0,0,0
840,27968,0,0,0,0,0,0,0
841,38862,0,0,0,0,0,0,0
842,40130,0,0,0,0,0,0,0
843,38615,0,0,0,0,0,0,0
844,38736,0,0,0,0,0,0,0
845,34825,0,0,0,0,0,0,0
846,34541,0,0,0,0,0,0,0
847,479,0,0,0,0,0,0,0
848,38047,0,0,0,0,0,0,0
849,2123,0,0,0,0,0,0,0
850,20282,0,0,0,0,0,0,0
851,36676,0,0,0,0,0,0,0
852,37438,0,0,0,0,0,0,0
853,36282,0,0,0,0,0,0,0
854,35518,0,0,0,0,0,0,0
855,35875,0,0,0,0,0,0,0
856,34302,0,0,0,0,0,0,0
857,35660,0,0,0,0,0,0,0
858,48921,0,0,0,0,0,0,0
859,33574,0,0,0,0,0,0,0
860,36832,0,0,0,0,0,0,0
861,48855,0,0,0,0,0,0,0
862,36560,0,0,0,0,0,0,0
863,49080,0,0,0,0,0,0,0
864,27858,0,0,0,0,0,0,0
865,32800,0,0,0,0,0,0,0
866,43865,0,0,0,0,0,0,0
867,29815,0,0,0,0,0,0,0
868,49272,0,0,0,0,0,0,0
869,28591,0,0,0,0,0,0,0
870,50023,0,0,0,0,0,0,0
871,49121,0,0,0,0,0,0,0
